Program,ParentProject,Project,StationCode,StationName,LocationCode,CommonName,FinalID,TissueName,TissuePrep,MatrixDisplay,Analyte,ResultType,Result,Unit,SampleYear,Region,TargetLatitude,TargetLongitude,TLAvgLength_mm,DataQuality,DataQualityIndicator,N_in_Avg,ND_in_Avg,DisplayText
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20152TBAY,Tomales Bay,NA,Brown Smooth-hound Shark,Mustelus henlei,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.832,ug/g ww,2009,2,38.187871,-122.927284,838.67,Passed,,3,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20152TBAY,Tomales Bay,NA,California Halibut,Paralichthys californicus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.129,ug/g ww,2020,2,38.187871,-122.927284,661.67,Passed,,3,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20152TBAY,Tomales Bay,NA,Top Smelt,Atherinops affinis,"whole without Head, Tail and Guts","Skin on, Scales Off",tissue,"Mercury, Total",Average of Composites,0.052,ug/g ww,2009,2,38.187871,-122.927284,254.17,Passed,,6,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20152TBAY,Tomales Bay,NA,White Surfperch,Phanerodon furcatus,"whole without Head, Tail and Guts","Skin on, Scales Off",tissue,"Mercury, Total",Average of Composites,0.041,ug/g ww,2009,2,38.187871,-122.927284,115.71,Passed,,13,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2009,20153NMRC,Northern Marin Coast,NA,Brown Rockfish,Sebastes auriculatus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.242,ug/g ww,2009,2,38.21325308,-122.9961377,291.6,Passed,,5,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Monitoring of Lk_Res 2016,201KENTLK,Kent Lake,NA,Bluegill,Lepomis macrochirus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.2675,ug/g ww,2016,2,37.98381,-122.69343,128.6,Passed,,10,0,
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Lakes Sportfish Contamination Study 2004 2005,201LAG400,Bon Tempe Lake,NA,Bluegill,Lepomis macrochirus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.0985,ug/g ww,2005,2,37.95579,-122.60005,160.71,Passed,,14,0,
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Lakes Sportfish Contamination Study 2004 2005,201LAG400,Bon Tempe Lake,NA,Largemouth Bass,Micropterus salmoides,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.427,ug/g ww,2005,2,37.95579,-122.60005,374,Passed,,4,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2021,201PSL093,Soulejoule Lake,NA,Brown Bullhead,Ameiurus nebulosus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.134,ug/g ww,2021,2,38.14734508,-122.7778744,303.6,Passed,,10,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Contamination in Lakes and Resrv,SWB Long-Term Monitoring of Bass Lk_Res 2017,201PNL105,Nicasio Lake,NA,Black Crappie,Pomoxis nigromaculatus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.184,ug/g ww,2017,2,38.07682,-122.73043,170,Passed,,4,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20246PPTH,Pillar Point Harbor,NA,Black Perch,Embiotoca jacksoni,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.039,ug/g ww,2020,2,37.501376,-122.4783349,169.6,Passed,,5,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20246PPTH,Pillar Point Harbor,NA,White Croaker,Genyonemus lineatus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.073,ug/g ww,2020,2,37.501376,-122.4783349,231.8,Passed,,5,0,
Surface Water Ambient Monitoring Program,SWAMP Sportfish Coastal Zones,Statewide Coast Sportfish Contamination Study 2020,20248PACC,Pacifica Coast,NA,Pacific Sanddab,Citharichthys sordidus,fillet,Skin off,tissue,"Mercury, Total",Average of Composites,0.053,ug/g ww,2020,2,37.60257954,-122.5360977,189,Passed,,6,0,
